Market,Date,Open,Jodi,Close,Patti,Posted,day_of_week,is_weekend,open_sum,close_sum,mirror_open,mirror_close,reverse_jodi,is_holiday,prev_jodi_distance
Rajdhani Day,01/01/2019,234,98,170,,,Tuesday,False,9.0,8.0,765,829,89,False,0.0
Rajdhani Day,01/01/2020,169,69,469,,,Wednesday,False,16.0,19.0,830,530,96,False,29.0
Kalyan,01/01/2021,889,55,159,,,Friday,False,25.0,15.0,110,840,55,False,0.0
Rajdhani Day,01/01/2021,134,82,336,,,Friday,False,8.0,12.0,865,663,28,False,13.0
Rajdhani Night,01/01/2021,266,48,567,,,Friday,False,14.0,18.0,733,432,84,False,0.0
Kalyan,01/01/2022,238,31,579,,,Saturday,True,13.0,21.0,761,420,13,False,24.0
Milan Night,01/01/2022,367,60,244,,,Saturday,True,16.0,10.0,632,755,6,False,0.0
Rajdhani Day,01/01/2022,269,77,566,,,Saturday,True,17.0,17.0,730,433,77,False,5.0
Time Bazar,01/01/2022,188,72,129,,,Saturday,True,17.0,12.0,811,870,27,False,0.0
Kalyan,01/01/2024,446,41,560,,,Monday,False,14.0,11.0,553,439,14,False,10.0
Main Bazar,01/01/2024,170,81,137,,,Monday,False,8.0,11.0,829,862,18,False,0.0
Milan Day,01/01/2024,399,15,168,,,Monday,False,21.0,15.0,600,831,51,False,0.0
Milan Night,01/01/2024,230,50,280,,,Monday,False,5.0,10.0,769,719,5,False,10.0
Rajdhani Day,01/01/2024,129,23,148,,,Monday,False,12.0,13.0,870,851,32,False,54.0
Rajdhani Night,01/01/2024,138,22,499,,,Monday,False,12.0,22.0,861,500,22,False,26.0
Time Bazar,01/01/2024,146,13,166,,,Monday,False,11.0,13.0,853,833,31,False,59.0
Kalyan,01/01/2025,229,33,599,,,Wednesday,False,13.0,23.0,770,400,33,False,8.0
Main Bazar,01/01/2025,134,80,550,,,Wednesday,False,8.0,10.0,865,449,8,False,1.0
Milan Day,01/01/2025,348,53,337,,,Wednesday,False,15.0,13.0,651,662,35,False,38.0
Milan Night,01/01/2025,199,98,233,,,Wednesday,False,19.0,8.0,800,766,89,False,48.0
Rajdhani Day,01/01/2025,357,52,147,,,Wednesday,False,15.0,12.0,642,852,25,False,29.0
Rajdhani Night,01/01/2025,790,60,479,,,Wednesday,False,16.0,20.0,209,520,6,False,38.0
