Date,Market,Open,Jodi,Close,Jodis,Pattis
04/01/2021,Time Bazar,189,86.0,277,,
05/01/2021,Time Bazar,790,60.0,280,,
06/01/2021,Time Bazar,489,17.0,269,,
07/01/2021,Time Bazar,346,31.0,579,,
08/01/2021,Time Bazar,140,51.0,155,,
09/01/2021,Time Bazar,780,57.0,223,,
10/01/2021,Time Bazar,400,48.0,170,,
11/01/2021,Time Bazar,246,23.0,670,,
12/01/2021,Time Bazar,350,85.0,230,,
13/01/2021,Time Bazar,189,85.0,230,,
14/01/2021,Time Bazar,679,22.0,390,,
15/01/2021,Time Bazar,150,67.0,359,,
16/01/2021,Time Bazar,133,78.0,116,,
17/01/2021,Time Bazar,239,41.0,560,,
18/01/2021,Time Bazar,348,58.0,800,,
19/01/2021,Time Bazar,118,4.0,257,,
20/01/2021,Time Bazar,470,18.0,378,,
21/01/2021,Time Bazar,778,29.0,289,,
22/01/2021,Time Bazar,118,5.0,889,,
23/01/2021,Time Bazar,567,85.0,780,,
24/01/2021,Time Bazar,780,55.0,258,,
25/01/2021,Time Bazar,188,76.0,466,,
27/01/2021,Time Bazar,490,34.0,149,,
28/01/2021,Time Bazar,169,65.0,168,,
29/01/2021,Time Bazar,445,32.0,228,,
30/01/2021,Time Bazar,670,37.0,160,,
31/01/2021,Time Bazar,679,21.0,335,,
01/02/2021,Time Bazar,159,55.0,258,,
02/02/2021,Time Bazar,469,95.0,799,,
03/02/2021,Time Bazar,789,47.0,359,,
04/02/2021,Time Bazar,367,66.0,457,,
05/02/2021,Time Bazar,358,62.0,589,,
06/02/2021,Time Bazar,338,40.0,190,,
07/02/2021,Time Bazar,160,79.0,199,,
08/02/2021,Time Bazar,388,97.0,557,,
09/02/2021,Time Bazar,660,21.0,489,,
10/02/2021,Time Bazar,169,66.0,114,,
11/02/2021,Time Bazar,690,54.0,248,,
12/02/2021,Time Bazar,500,52.0,570,,
13/02/2021,Time Bazar,449,77.0,179,,
14/02/2021,Time Bazar,124,75.0,447,,
15/02/2021,Time Bazar,358,65.0,366,,
16/02/2021,Time Bazar,228,25.0,780,,
17/02/2021,Time Bazar,124,70.0,389,,
18/02/2021,Time Bazar,567,84.0,167,,
19/02/2021,Time Bazar,157,37.0,340,,
20/02/2021,Time Bazar,259,60.0,389,,
21/02/2021,Time Bazar,114,60.0,569,,
22/02/2021,Time Bazar,778,28.0,279,,
23/02/2021,Time Bazar,369,86.0,880,,
24/02/2021,Time Bazar,190,2.0,228,,
25/02/2021,Time Bazar,350,88.0,378,,
26/02/2021,Time Bazar,889,59.0,225,,
27/02/2021,Time Bazar,390,21.0,335,,
28/02/2021,Time Bazar,139,38.0,800,,
01/03/2021,Time Bazar,468,89.0,126,,
02/03/2021,Time Bazar,127,8.0,116,,
03/03/2021,Time Bazar,356,44.0,356,,
04/03/2021,Time Bazar,478,94.0,347,,
05/03/2021,Time Bazar,680,40.0,389,,
06/03/2021,Time Bazar,347,48.0,260,,
07/03/2021,Time Bazar,139,33.0,139,,
08/03/2021,Time Bazar,225,95.0,690,,
09/03/2021,Time Bazar,236,13.0,139,,
10/03/2021,Time Bazar,258,56.0,600,,
11/03/2021,Time Bazar,590,48.0,134,,
12/03/2021,Time Bazar,358,61.0,678,,
13/03/2021,Time Bazar,346,34.0,356,,
14/03/2021,Time Bazar,588,17.0,278,,
15/03/2021,Time Bazar,257,44.0,347,,
16/03/2021,Time Bazar,489,13.0,445,,
17/03/2021,Time Bazar,466,61.0,489,,
18/03/2021,Time Bazar,188,78.0,170,,
19/03/2021,Time Bazar,790,60.0,479,,
20/03/2021,Time Bazar,338,42.0,688,,
21/03/2021,Time Bazar,479,1.0,137,,
22/03/2021,Time Bazar,160,78.0,990,,
23/03/2021,Time Bazar,447,53.0,238,,
24/03/2021,Time Bazar,177,54.0,257,,
25/03/2021,Time Bazar,700,77.0,458,,
26/03/2021,Time Bazar,334,9.0,450,,
27/03/2021,Time Bazar,346,36.0,899,,
30/03/2021,Time Bazar,156,21.0,380,,
31/03/2021,Time Bazar,144,92.0,156,,
01/04/2021,Time Bazar,456,55.0,348,,
02/04/2021,Time Bazar,239,49.0,478,,
03/04/2021,Time Bazar,478,95.0,168,,
04/04/2021,Time Bazar,144,97.0,368,,
05/04/2021,Time Bazar,588,19.0,126,,
06/04/2021,Time Bazar,990,82.0,246,,
07/04/2021,Time Bazar,566,74.0,266,,
08/04/2021,Time Bazar,230,51.0,470,,
09/04/2021,Time Bazar,389,7.0,133,,
10/04/2021,Time Bazar,129,27.0,340,,
11/04/2021,Time Bazar,570,27.0,467,,
12/04/2021,Time Bazar,360,95.0,456,,
13/04/2021,Time Bazar,890,77.0,368,,
14/04/2021,Time Bazar,588,13.0,300,,
15/04/2021,Time Bazar,789,42.0,589,,
16/04/2021,Time Bazar,129,26.0,178,,
17/04/2021,Time Bazar,466,60.0,280,,
18/04/2021,Time Bazar,445,36.0,259,,
19/04/2021,Time Bazar,158,46.0,880,,
20/04/2021,Time Bazar,266,49.0,577,,
21/04/2021,Time Bazar,445,38.0,260,,
22/04/2021,Time Bazar,227,12.0,480,,
23/04/2021,Time Bazar,156,20.0,389,,
24/04/2021,Time Bazar,580,37.0,223,,
25/04/2021,Time Bazar,478,92.0,156,,
26/04/2021,Time Bazar,123,65.0,456,,
27/04/2021,Time Bazar,455,40.0,118,,
28/04/2021,Time Bazar,479,5.0,780,,
29/04/2021,Time Bazar,140,53.0,166,,
30/04/2021,Time Bazar,170,81.0,137,,
01/05/2021,Time Bazar,127,2.0,336,,
02/05/2021,Time Bazar,124,75.0,348,,
03/05/2021,Time Bazar,248,47.0,250,,
04/05/2021,Time Bazar,599,34.0,789,,
05/05/2021,Time Bazar,259,67.0,340,,
06/05/2021,Time Bazar,448,60.0,299,,
07/05/2021,Time Bazar,129,26.0,466,,
08/05/2021,Time Bazar,480,22.0,129,,
09/05/2021,Time Bazar,468,83.0,689,,
10/05/2021,Time Bazar,579,14.0,590,,
11/05/2021,Time Bazar,350,82.0,570,,
12/05/2021,Time Bazar,788,30.0,334,,
13/05/2021,Time Bazar,890,78.0,369,,
14/05/2021,Time Bazar,138,25.0,366,,
15/05/2021,Time Bazar,233,89.0,900,,
16/05/2021,Time Bazar,246,21.0,155,,
17/05/2021,Time Bazar,458,79.0,135,,
18/05/2021,Time Bazar,399,14.0,257,,
19/05/2021,Time Bazar,157,38.0,260,,
20/05/2021,Time Bazar,277,67.0,458,,
21/05/2021,Time Bazar,688,21.0,588,,
22/05/2021,Time Bazar,457,65.0,230,,
